"gvkey","tic","conm","prccq"
8079,"OII","OCEANEERING INTERNATIONAL",22.84
8087,"ITI","ITERIS INC",6.22
8092,"BRS","BRISTOW GROUP INC",7.65
8099,"FE","FIRSTENERGY CORP",29.16
8105,"ODC","OIL DRI CORP AMERICA",40.69
8113,"OGE","OGE ENERGY CORP",34.79
8123,"OLN","OLIN CORP",30.28
8148,"OLP","ONE LIBERTY PROPERTIES INC",23.43
8151,"OKE","ONEOK INC",52.16
8169,"ORBK","ORBOTECH LTD",32.62
8176,"ORBT","ORBIT INTERNATIONAL CORP",4.26
8199,"OTTR","OTTER TAIL CORP",39.6
8210,"OSG","OVERSEAS SHIPHOLDING GROUP",2.66
8213,"OMI","OWENS & MINOR INC",32.19
8214,"OC","OWENS CORNING",66.92
8215,"OI","OWENS-ILLINOIS INC",23.92
8219,"OXM","OXFORD INDUSTRIES INC",57.98
8229,"PFIN","P & F INDUSTRIES  -CL A",6.05
8240,"PHH","PHH CORP",13.77
8245,"PNC","PNC FINANCIAL SVCS GROUP INC",124.87
8247,"PPG","PPG INDUSTRIES INC",109.96
8253,"PCAR","PACCAR INC",66.04
8264,"PCG","PG&E CORP",66.37
8307,"SMM","SALIENT MIDSTREAM & MLP FUND",12.22
8334,"PAR","PAR TECHNOLOGY CORP",8.51
8336,"PARF","PARADISE INC",31
8348,"PKE","PARK ELECTROCHEMICAL CORP",16.9
8350,"PKOH","PARK OHIO HOLDINGS CORP",38.1
8358,"PH","PARKER-HANNIFIN CORP",159.82
8386,"PATK","PATRICK INDUSTRIES INC",72.85
8402,"PAYX","PAYCHEX INC",59.23
8431,"AFG","AMERICAN FINANCIAL GROUP INC",99.37
8446,"JCP","PENNEY (J C) CO",5.38
8455,"PPL","PPL CORP",38.66
8457,"PEI","PENNSYLVANIA RE INVS TRUST",11.32
8463,"PNR","PENTAIR PLC",66.54
8493,"PBT","PERMIAN BASIN ROYALTY TRUST",8.7
8512,"PDCE","PDC ENERGY INC",43.11
8515,"PHIIK","PHI INC",9.76
8530,"PFE","PFIZER INC",33.59
8539,"EXC","EXELON CORP",36.07
8543,"MO","ALTRIA GROUP INC",74.47
8544,"PHI","PLDT INC",35.31
8546,"PHG","KONINKLIJKE PHILIPS NV",35.82
8549,"COP","CONOCOPHILLIPS",43.96
8551,"PVH","PVH CORP",101.03
8579,"PIR","PIER 1 IMPORTS INC/DE",5.01
8582,"SENEA","SENECA FOODS CORP",31.05
8599,"AGYS","AGILYSYS INC",10.12
8605,"PJC","PIPER JAFFRAY COS",59.95
8606,"PBI","PITNEY BOWES INC",15.1
8611,"PW","POWER REIT",7.54
8633,"PLT","PLANTRONICS INC",52.31
8644,"KGC","KINROSS GOLD CORP",4.07
8692,"PCH","POTLATCH CORP",45.7
8699,"POWL","POWELL INDUSTRIES INC",31.99
8702,"PWCDF","POWER CORP CANADA",29.58
8762,"PG","PROCTER & GAMBLE CO",87.15
8807,"PNM","PNM RESOURCES INC",38.25
8810,"PEG","PUBLIC SERVICE ENTRP GRP INC",43.01
8823,"PHM","PULTEGROUP INC",24.53
8826,"PCYO","PURE CYCLE CORP",7.8
8832,"AGX","ARGAN INC",66.85
8850,"KWR","QUAKER CHEMICAL CORP",145.23
8858,"QSII","QUALITY SYSTEMS INC",17.21
8864,"ASYS","AMTECH SYSTEMS INC",8.44
8870,"QBCRF","QUEBECOR INC  -CL B",42.92
8892,"RCMT","RCM TECHNOLOGIES INC",5.05
8898,"RJF","RAYMOND JAMES FINANCIAL CORP",80.22
8901,"RES","RPC INC",20.21
8902,"RPM","RPM INTERNATIONAL INC",54.23
8958,"RAVN","RAVEN INDUSTRIES INC",31
8972,"RTN","RAYTHEON CO",161.48
9016,"RBC","REGAL BELOIT CORP",81.55
9023,"RGS","REGIS CORP/MN",10.27
9034,"RTMAF","REITMANS (CANADA)  -CL A",5.48
9063,"AN","AUTONATION INC",42.16
9125,"RELL","RICHARDSON ELECTRONICS LTD",6.04
9135,"RICOY","RICOH CO LTD",8.829
9154,"RSKIA","RISK(GEORGE) INDUSTRIES INC",8.49
9155,"RAD","RITE AID CORP",3.41
9171,"RGCO","RGC RESOURCES INC",28.33
9203,"ROK","ROCKWELL AUTOMATION",161.96
9215,"RCI","ROGERS COMMUNICATIONS  -CL B",61.25
9216,"ROG","ROGERS CORP",108.62
9225,"ROL","ROLLINS INC",40.71
9248,"ROST","ROSS STORES INC",65
9258,"RDC","ROWAN COMPANIES PLC",10.24
9273,"RGLD","ROYAL GOLD INC",78.17
9299,"R","RYDER SYSTEM INC",71.98
9317,"SEIC","SEI INVESTMENTS CO",53.78
9324,"SJW","SJW GROUP",49.18
9346,"SBR","SABINE ROYALTY TRUST",38.75
9355,"SFE","SAFEGUARD SCIENTIFICS INC",11.9
9393,"SJT","SAN JUAN BASIN ROYALTY TR",6.81
9445,"SCG","SCANA CORP",67.01
9465,"SLB","SCHLUMBERGER LTD",65.84
9466,"SCHL","SCHOLASTIC CORP",42.53
9472,"SHLM","SCHULMAN (A.) INC",29.3
9490,"SCND","SCIENTIFIC INDUSTRIES INC",3.2
9538,"SEB","SEABOARD CORP",3995
9555,"SEE","SEALED AIR CORP",44.76
9590,"IIN","INTRICON CORP",8.175
9599,"SMTC","SEMTECH CORP",34.15
9611,"SCI","SERVICE CORP INTERNATIONAL",33.45
9647,"SAWLF","SHAWCOR LTD",26.48
9664,"SHEN","SHENANDOAH TELECOMMUN CO",30.7
9667,"SHW","SHERWIN-WILLIAMS CO",350.96
9698,"SIF","SIFCO INDUSTRIES",6.65
9761,"SKY","SKYLINE CORP",5.26
9771,"AOS","SMITH (A O) CORP",56.33
9777,"SJM","SMUCKER (JM) CO",126.72
9778,"SNA","SNAP-ON INC",158
9783,"KEY","KEYCORP",18.74
9818,"SNE","SONY CORP",38.19
9831,"SJI","SOUTH JERSEY INDUSTRIES INC",34.17
9835,"PES","PIONEER ENERGY SERVICES CORP",2.05
9846,"EIX","EDISON INTERNATIONAL",78.19
9849,"AWR","AMERICAN STATES WATER CO",47.41
9882,"LUV","SOUTHWEST AIRLINES",62.14
10000,"SMP","STANDARD MOTOR PRODS",52.22
10002,"CAA","CALATLANTIC GROUP INC",35.35
10030,"SCX","STARRETT (L.S.) CO  -CL A",8.6
10056,"SCL","STEPAN CO",87.14
10096,"PSA","PUBLIC STORAGE",208.53
10121,"NAVI","NAVIENT CORP",16.65
10124,"RGR","STURM RUGER & CO INC",62.15
10137,"SMFG","SUMITOMO MITSUI FINANCIAL GR",7.86
10198,"SGC","SUPERIOR UNIFORM GROUP INC",22.35
10405,"ATI","ALLEGHENY TECHNOLOGIES INC",17.01
10466,"ANDV","ANDEAVOR",93.6
10567,"SIX","SIX FLAGS ENTERTAINMENT CORP",59.61
10860,"AEE","AMEREN CORP",54.67
10981,"ESND","ESSENDANT INC",14.83
10984,"S","SPRINT CORP",8.21
10991,"SGMS","SCIENTIFIC GAMES CORP",26.1
11300,"GHC","GRAHAM HOLDINGS CO",599.65
11304,"AVA","AVISTA CORP",42.46
11462,"HNH","HANDY & HARMAN LTD",31.4
11499,"JW.A","WILEY (JOHN) & SONS  -CL A",52.7
11538,"JAX","J. ALEXANDER'S HOLDINGS INC",12.25
11554,"LNT","ALLIANT ENERGY CORP",40.17
11584,"FL","FOOT LOCKER INC",77.34
11632,"IFABF","IFABRIC CORP",2.36
11670,"HRG","HRG GROUP INC",17.71
11721,"OSK","OSHKOSH CORP",68.88
11745,"QLYS","QUALYS INC",40.8
11749,"SKFRY","SKF AB",20.238
11756,"ALEX","ALEXANDER & BALDWIN INC",41.38
11770,"SF","STIFEL FINANCIAL CORP",45.98
11781,"ECA","ENCANA CORP",8.8
11796,"LCII","LCI INDUSTRIES",102.4
11811,"JKHY","HENRY (JACK) & ASSOCIATES",103.87
11842,"ASB","ASSOCIATED BANC-CORP",25.2
11854,"NMIH","NMI HOLDINGS INC",11.45
11856,"BBT","BB&T CORP",45.41
11872,"ARKR","ARK RESTAURANTS CORP",24.25
11896,"FMBI","FIRST MIDWEST BANCORP INC",23.31
11922,"NGVC","NATURAL GROCERS VITAMIN CTGE",8.27
11923,"APC","ANADARKO PETROLEUM CORP",45.34
11925,"NE","NOBLE CORP PLC",3.62
11930,"CAW","CCA INDUSTRIES INC",3.3
11976,"RMCF","ROCKY MOUNTAIN CHOC FACT INC",12.01
12010,"I","INTELSAT SA",3.06
12081,"LAND","GLADSTONE LAND CORP",11.67
12123,"BIG","BIG LOTS INC",50.49
12124,"MS","MORGAN STANLEY",44.56
12140,"NNN","NATIONAL RETAIL PROPERTIES",39.1
12141,"MSFT","MICROSOFT CORP",68.93
12142,"ORCL","ORACLE CORP",45.39
12151,"COTY","COTY INC",18.76
12181,"RGEN","REPLIGEN CORP",41.44
12215,"CY","CYPRESS SEMICONDUCTOR CORP",13.65
12234,"SIGM","SIGMA DESIGNS INC",6.2
12250,"AMAG","AMAG PHARMACEUTICALS INC",18.4
12262,"ASTE","ASTEC INDUSTRIES INC",55.51
12294,"MPLX","MPLX LP",33.4
12304,"DLHC","DLH HOLDINGS CORP",5.39
12379,"AMWD","AMERICAN WOODMARK CORP",91.9
12383,"NHYDY","NORSK HYDRO ASA",5.525
12384,"RDS.A","ROYAL DUTCH SHELL PLC",53.19
12389,"HOG","HARLEY-DAVIDSON INC",54.02
12392,"SKYW","SKYWEST INC",35.1
12403,"FRED","FREDS INC",14.72
12413,"EGL","ENGILITY HOLDINGS INC",28.4
12428,"POR","PORTLAND GENERAL ELECTRIC CO",45.69
12432,"HCLP","HI-CRUSH PARTNERS LP",10.85
12441,"IT","GARTNER INC",123.51
12458,"PDEX","PRO-DEX INC/CO",6.15
12459,"NVR","NVR INC",2410.61
12471,"INT","WORLD FUEL SERVICES CORP",38.45
12482,"CLFD","CLEARFIELD INC",13.2
12540,"ADBE","ADOBE SYSTEMS INC",141.86
12544,"JOE","ST JOE CO",18.75
12556,"PMULF","PURE MULTI-FAMILY REIT LP",6.7028
12568,"DJCO","DAILY JOURNAL CORP",209.94
12575,"CYAN","CYANOTECH CORP",3.55
12589,"EHC","ENCOMPASS HEALTH CORP",48.4
12597,"LAKE","LAKELAND INDUSTRIES INC",10.65
12598,"PTSI","P.A.M. TRANSPORTATION SVCS",18.95
12603,"CNO","CNO FINANCIAL GROUP INC",20.88
12615,"MHO","M/I HOMES INC",28.55
12625,"MRTN","MARTEN TRANSPORT LTD",27.4
12635,"FISV","FISERV INC",122.34
12673,"BCS","BARCLAYS PLC",10.59
12689,"KBH","KB HOME",20.98
12713,"ABEO","ABEONA THERAPEUTICS INC",6.4
12756,"CCE","COCA-COLA EUROPEAN PARTNERS",40.67
12785,"PPC","PILGRIM'S PRIDE CORP",21.92
12796,"CLGX","CORELOGIC INC",43.38
12803,"GIMO","GIGAMON INC",39.35
12825,"JJSF","J & J SNACK FOODS CORP",132.07
12833,"DKL","DELEK LOGISTICS PARTNERS LP",32.75
12840,"HTLD","HEARTLAND EXPRESS INC",20.82
12850,"CERN","CERNER CORP",66.47
12874,"ICAD","ICAD INC",4.19
12886,"FOXA","TWENTY-FIRST CENTURY FOX INC",28.34
12909,"MKL","MARKEL CORP",975.86
12915,"OSUR","ORASURE TECHNOLOGIES INC",17.26
12926,"FRPH","FRP HOLDINGS INC",46.15
12945,"PLXS","PLEXUS CORP",52.57
12956,"IOR","INCOME OPPORTUNITY RLTY INVS",9.4
12964,"CDZI","CADIZ INC",13.5
12972,"IMKTA","INGLES MARKETS INC  -CL A",33.3
12976,"SHOS","SEARS HOMETOWN & OUTLET STR",3.35
12994,"EGAS","GAS NATURAL INC",12.925
13030,"SEMUF","SIEM INDUSTRIES INC",60
13041,"SNV","SYNOVUS FINANCIAL CORP",44.24
13071,"RDNT","RADNET INC",7.75
13092,"JACK","JACK IN THE BOX INC",98.5
13125,"HCP","HCP INC",31.96
13128,"EEI","ECOLOGY AND ENVIRONMENT INC",10.6253
13142,"CMO","CAPSTEAD MORTGAGE CORP",10.43
13145,"ICAGY","INTL CONSOL AIRLINES GROUP",15.847
13189,"CDR","CEDAR REALTY TRUST INC",4.85
13200,"PLAB","PHOTRONICS INC",11.5
13235,"ICCC","IMMUCELL CORP",7.33
13289,"CFNB","CALIF FIRST NATIONAL BANCORP",18.85
13312,"BHP","BHP BILLITON GROUP (AUS)",35.59
13323,"SAFM","SANDERSON FARMS INC",115.78
13341,"PGR","PROGRESSIVE CORP-OHIO",44.09
13342,"RLI","RLI CORP",54.62
13375,"GNCMA","GENERAL COMMUNICATION  -CL A",36.64
13381,"DXLG","DESTINATION XL GROUP INC",2.55
13406,"CCC","CALGON CARBON CORP",15.1
13421,"CDNS","CADENCE DESIGN SYSTEMS INC",33.49
13440,"LVLT","LEVEL 3 COMMUNICATIONS INC",59.3
13453,"OPY","OPPENHEIMER HOLDINGS INC",16.4
13480,"EBIX","EBIX INC",53.9
13498,"CCL","CARNIVAL CORP/PLC (USA)",64.07
13510,"DRE","DUKE REALTY CORP",27.95
13526,"BPL","BUCKEYE PARTNERS LP",63.93
13561,"MBI","MBIA INC",9.43
13562,"BDN","BRANDYWINE REALTY TRUST",17.53
13570,"MIDD","MIDDLEBY CORP",121.51
13579,"EQC","EQUITY COMMONWEALTH",31.6
13599,"CELG","CELGENE CORP",129.87
13602,"CRMT","AMERICA'S CAR-MART INC",37.3
13619,"ABMD","ABIOMED INC",143.3
13623,"CNMD","CONMED CORP",50.94
13649,"NHLD","NATIONAL HOLDINGS CORP",2.78
13657,"AIQ","ALLIANCE HEALTHCARE SVCS INC",13.3
13664,"LVNTA","LIBERTY VENTURES",52.29
13665,"HBK","HAMILTON BANCORP INC/MD",15
13679,"ARCW","ARC GROUP WORLDWIDE INC",2.819
13709,"IEP","ICAHN ENTERPRISES LP",51.66
13710,"FUN","CEDAR FAIR  -LP",72.1
13714,"CBS","CBS CORP",63.78
13733,"PMD","PSYCHEMEDICS CORP",24.95
13759,"MHGU","MERITAGE HOSPITALITY GROUP",17
13765,"NAII","NATURAL ALTERNATIVES",9.95
13782,"LABL","MULTI-COLOR CORP",81.6
13786,"HRTX","HERON THERAPEUTICS INC",13.85
13794,"KOOL","CESCA THERAPEUTICS INC",3.17
13800,"AFAM","ALMOST FAMILY INC",61.65
13824,"FICO","FAIR ISAAC CORP",139.41
13839,"CBM","CAMBREX CORP",59.75
13871,"SMLP","SUMMIT MIDSTREAM PARTNERS LP",22.65
13906,"JOUT","JOHNSON OUTDOORS INC  -CL A",48.21
13962,"FGP","FERRELLGAS PARTNERS  -LP",5.86
13971,"MEOH","METHANEX CORP",44.05
13988,"SCHW","SCHWAB (CHARLES) CORP",42.96
13992,"EXETF","EXTENDICARE INC",10.35
13994,"HUSKF","HUSKY ENERGY INC",14.72
14027,"CLH","CLEAN HARBORS INC",55.83
14033,"ANFI","AMIRA NATURE FOODS LTD",5.54
14042,"CFPZF","CANFOR CORP",19.59
14062,"CCDBF","CCL INDUSTRIES  -CL B",65.61
14065,"CADNF","CASCADES INC",17.69
14084,"AIN","ALBANY INTL CORP  -CL A",53.4
14108,"CYBE","CYBEROPTICS CORP",20.65
14112,"FKWL","FRANKLIN WIRELESS CORP",2.25
14113,"MITK","MITEK SYSTEMS INC",8.4
14118,"AMIVF","ATRIUM MORTGAGE INVESTMENT",12.12
14140,"SAN","BANCO SANTANDER SA",6.69
14169,"LDR","LANDAUER INC",52.3
14170,"SEV","SEVCON INC",13.4
14172,"FULT","FULTON FINANCIAL CORP",19
14219,"BXS","BANCORPSOUTH BANK",30.5
14225,"FAST","FASTENAL CO",43.53
14227,"FTDL","FIRSTIME DESIGN LTD",7.15
14256,"MXIM","MAXIM INTEGRATED PRODUCTS",44.9
14269,"HLF","HERBALIFE LTD",71.33
14275,"FRC","FIRST REPUBLIC BANK",100.1
14282,"APH","AMPHENOL CORP",73.82
14304,"AKRX","AKORN INC",33.54
14309,"IPAR","INTER PARFUMS INC",36.65
14311,"PII","POLARIS INDUSTRIES INC",92.23
14312,"EMLAF","EMPIRE CO LTD  -CL A",21.03
14313,"OSB","NORBORD INC",31.14
14320,"ICPT","INTERCEPT PHARMA INC",121.07
14326,"ONEXF","ONEX CORP",103.81
14333,"IGIFF","IGM FINANCIAL INC",40.22
14352,"SNCAF","SNC-LAVALIN GROUP INC",56.07
14353,"SJR","SHAW COMMUNICATIONS INC-CL B",28.86
14359,"PXD","PIONEER NATURAL RESOURCES CO",159.58
14370,"MAN","MANPOWERGROUP",111.65
14390,"FTS","FORTIS INC",45.58
14401,"ITIC","INVESTORS TITLE CO",193.44
14403,"DX","DYNEX CAPITAL INC",7.1
14412,"BID","SOTHEBY'S",53.67
14418,"MGM","MGM RESORTS INTERNATIONAL",31.29
14433,"CDUAF","CANADIAN UTILITIES  -CL A",41.67
14447,"LVMUY","LVMH MOET HENNESSY LOUIS V",49.796
14551,"SAMG","SILVERCREST ASSET MGT",13.45
14561,"IIVI","II-VI INC",34.3
14563,"MERC","MERCER INTL INC",11.5
14581,"MGCD","MGC DIAGNOSTICS CORP",8.5214
14590,"FCX","FREEPORT-MCMORAN INC",12.01
14592,"AB","ALLIANCEBERNSTEIN HOLDING LP",23.65
14597,"JNP","JUNIPER PHARMACEUTICALS INC",5.05
14620,"ELUXY","ELECTROLUX AB",65.469
14624,"ODP","OFFICE DEPOT INC",5.64
14639,"NEN","NEW ENGLAND REALTY ASSC  -LP",71.5
14667,"FAX","ABERDEEN ASIA PACIFIC INCOME",5
14790,"MTH","MERITAGE HOMES CORP",42.2
14794,"CMT","CORE MOLDING TECHNOLOGIES",21.61
14802,"NABZY","NATIONAL AUSTRALIA BK",11.349
14824,"CINF","CINCINNATI FINANCIAL CORP",72.45
14828,"ORI","OLD REPUBLIC INTL CORP",19.53
14891,"MGPI","MGP INGREDIENTS INC",51.17
14898,"DDD","3D SYSTEMS CORP",18.7
14924,"NTP","NAM TAI PROPERTY INC",8
14934,"DVN","DEVON ENERGY CORP",31.97
14954,"LNN","LINDSAY CORP",85.38
14960,"LH","LABORATORY CP OF AMER HLDGS",154.14
15000,"ADWPF","ANDREW PELLER LTD",10.95
15022,"CGRIF","CANADIAN GENERAL INVESTMENTS",21.1
15037,"GG","GOLDCORP INC",12.91
15038,"IFSPF","INTERFOR CORP",18.58
15042,"PKIUF","PARKLAND FUEL CORP",29.71
15050,"HERXF","HEROUX-DEVTEK INC",14.63
15055,"CNQ","CANADIAN NATURAL RESOURCES",37.42
15059,"MODVF","MELCOR DEVELOPMENT LTD",15.39
15060,"CPE","CALLON PETROLEUM CO/DE",10.61
15087,"LWAY","LIFEWAY FOODS INC",9.34
15093,"CVRR","CVR REFINING LP",9.5
15098,"BCKMF","BECKER MILK CO LTD  -CL B",15.7
15101,"MFA","MFA FINANCIAL INC",8.39
15111,"RPT","RAMCO-GERSHENSON PROPERTIES",12.9
15149,"MCBK","MADISON COUNTY FINANCIAL INC",23
15153,"AGM","FEDERAL AGRICULTURE MTG CP",64.7
15172,"FCAU","FIAT CHRYSLER AUTOMOBILES NV",10.63
15181,"BBVA","BBVA",8.36
15197,"CHFC","CHEMICAL FINANCIAL CORP",48.41
15211,"DREUF","DREAM INDUSTRIAL REIT",8.7
15212,"CAPL","CROSSAMERICA PARTNERS LP",25.5
15235,"ALDW","ALON USA PARTNERS LP",10.48
15267,"IEX","IDEX CORP",113.01
15319,"REPYY","REPSOL SA",15.283
15334,"AKZOY","AKZO NOBEL NV",28.928
15343,"MLI","MUELLER INDUSTRIES",30.45
15350,"BPT","BP PRUDHOE BAY ROYALTY TRUST",21.6
15356,"NCC.A","NEWFOUNDLAND CAP CORP  -CL A",10.64
15364,"AGII","ARGO GROUP INTL HOLDINGS LTD",60.6
15399,"PVVLF","PARTNERS VALUE INVMNTS LP",31.75
15417,"BRO","BROWN & BROWN INC",43.07
15420,"AMBA","AMBARELLA INC",56.22
15444,"CRH","CRH PLC",35.47
15508,"NGLOY","ANGLO AMERICAN PLC",6.651
15509,"HSBC","HSBC HLDGS PLC",46.39
15520,"SIG","SIGNET JEWELERS LTD",65.84
15532,"BNPQY","BNP PARIBAS",35.962
15533,"DDC","DOMINION DIAMOND CORP",12.16
15539,"PRTK","PARATEK PHARMACEUTCLS INC",24.1
15545,"AVVIY","AVIVA PLC",13.665
15552,"DNKEY","DANSKE BANK AS",19.206
15576,"DB","DEUTSCHE BANK AG",17.79
15580,"BMO","BANK OF MONTREAL",96.66
15581,"CM","CANADIAN IMPERIAL BANK",110.25
15582,"BNS","BANK OF NOVA SCOTIA",75.88
15598,"AEG","AEGON NV",5.11
15607,"POFNF","POWER FINANCIAL CORP",33.27
15613,"NMR","NOMURA HOLDINGS INC",6.04
15617,"ING","ING GROEP NV",17.39
15620,"NTIOF","NATIONAL BANK CANADA",53.05
15633,"RY","ROYAL BANK OF CANADA",93.47
15634,"RBS","ROYAL BANK OF SCOTLAND GROUP",6.53
15668,"IX","ORIX CORP",77.93
15724,"AZSEY","ALLIANZ SE",19.663
15743,"DBSDY","DBS GROUP HOLDINGS LTD",60.254
15782,"PUK","PRUDENTIAL PLC",46.01
15784,"SCGLY","SOCIETE GENERALE GROUP",10.746
15889,"ANZBY","ANZ-AUSTRALIA & NEW ZEALD BK",22.03
15929,"LYG","LLOYDS BANKING GROUP PLC",3.53
16026,"SDLP","SEADRILL PARTNERS LLC",3.4
16066,"MRCC","MONROE CAPITAL CORP",15.23
16101,"ABBV","ABBVIE INC",72.51
16113,"APAM","ARTISAN PARTNERS ASSET MGMT",30.7
16116,"CONE","CYRUSONE INC",55.75
16149,"OFS","OFS CAPITAL CORP",14.31
16150,"SCM","STELLUS CAPITAL INVESTMENT",13.71
16188,"CGNX","COGNEX CORP",84.9
16245,"PBCT","PEOPLE'S UNITED FINL INC",17.66
16269,"ENTA","ENANTA PHARMACEUTICALS INC",35.98
16305,"AGRPY","BARCLAYS AFRICA GROUP LTD",21.942
16348,"ISNPY","INTESA SANPAOLO SPA",18.997
16401,"CRUS","CIRRUS LOGIC INC",62.72
16426,"ELFIF","E-L FINANCIAL CORP LTD",845
16428,"FRFHF","FAIRFAX FINANCIAL HOLDINGS",432.85
16431,"GWLIF","GREAT-WEST LIFECO INC",35.15
16432,"LRCDF","LAURENTIAN BANK OF CANADA",55.84
16453,"NEOG","NEOGEN CORP",63.29
16474,"JCOUF","JEAN COUTU GROUP",22.19
16477,"LEA","LEAR CORP",142.08
16478,"EOG","EOG RESOURCES INC",90.52
16486,"BCC","BOISE CASCADE CO",30.4
16500,"RCO.UN","MIDDLEFIELD CAN-GLOBAL REIT",11.5
16549,"SFBS","SERVISFIRST BANCSHARES INC",36.89
16560,"AWCMY","ALUMINA LTD",5.891
16582,"NTR","NUTRIEN LTD",16.3
16590,"HGKGY","POWER ASSETS HOLDINGS LTD",8.832
16597,"LSCC","LATTICE SEMICONDUCTOR CORP",6.66
16603,"3NSRGY","NESTLE SA/AG",87.14
16641,"ATAX","AMERICA FIRST MULTIFAMILY-LP",5.95
16668,"AROW","ARROW FINANCIAL CORP",31.65
16671,"AAME","ATLANTIC AMERICAN CORP",3.75
16689,"NBN","NORTHEAST BANCORP/ME",20.35
16698,"BMTC","BRYN MAWR BANK CORP",42.5
16700,"RESI","ALTISOURCE RESIDENTIAL CORP",12.94
16705,"CPF","CENTRAL PACIFIC FINANCIAL CP",31.47
16710,"DGII","DIGI INTERNATIONAL INC",10.15
16714,"DGICA","DONEGAL GROUP INC",15.9
16716,"EMCI","EMC INSURANCE GROUP INC",27.78
16720,"AAMC","ALTISOURCE ASSET MGMT CORP",91.3992
16721,"EA","ELECTRONIC ARTS INC",105.72
16725,"KPTSF","KP TISSUE INC",14.21
16738,"HMHC","HOUGHTON MIFFLIN HARCOURT CO",12.3
16745,"PRTA","PROTHENA CORP PLC",54.12
16748,"CNBKA","CENTURY BANCORP INC/MA",63.6
16775,"CIA","CITIZENS INC",7.38
16777,"FBNC","FIRST BANCORP/NC",31.26
16781,"CHCO","CITY HOLDING CO",65.87
16790,"CBU","COMMUNITY BANK SYSTEM INC",55.77
16821,"FBP","FIRST BANCORP P R",5.79
16829,"PCLB","PINNACLE BANCSHARES",22
16832,"GBCI","GLACIER BANCORP INC",36.61
16845,"FRME","FIRST MERCHANTS CORP",40.14
16848,"RTRX","RETROPHIN INC",19.39
16878,"RELYQ","REAL INDUSTRY INC",2.9
16884,"OAKS","FIVE OAKS INVESTMENT CORP",4.88
16886,"HIIQ","HEALTH INSURANCE INNOVATIONS",23.5
16889,"INDB","INDEPENDENT BANK CORP/MA",66.65
16890,"IBCP","INDEPENDENT BANK CORP/MI",21.75
16909,"SLTTF","SLATE OFFICE REIT",8
16957,"HARL","HARLEYSVILLE FINANCIAL CORP",22.4
16967,"HIFS","HINGHAM INSTN FOR SAVINGS",181.93
16981,"OFG","OFG BANCORP",10
16989,"PEBK","PEOPLES BANCORP NC INC",31.6
17010,"LSXMA","LIBERTY MEDIA SIRIUSXM GROUP",41.98
17035,"MCY","MERCURY GENERAL CORP",54
17072,"NSEC","NATIONAL SEC GROUP INC",14.25
17073,"NWLI","NATIONAL WESTERN LIFE GROUP",319.62
17074,"NAVG","NAVIGATORS GROUP INC",54.9
17095,"ONB","OLD NATIONAL BANCORP",17.25
17101,"IMGN","IMMUNOGEN INC",7.11
17106,"PEBO","PEOPLES BANCORP INC/OH",32.13
17115,"SIGI","SELECTIVE INS GROUP INC",50.05
17120,"SIVB","SVB FINANCIAL GROUP",175.79
17131,"IHC","INDEPENDENCE HOLDING CO",20.45
17168,"RBPAA","ROYAL BANCSHARES/PA  -CL A",4.23
17173,"ACNB","ACNB CORP",30.5
17180,"SNFCA","SECURITY NATL FINL CP  -CL A",6.375
17184,"SBCF","SEACOAST BANKING CORP/FL",24.1
17187,"ACRVF","AGELLAN COMMERCIAL REIT",11.04
17195,"FFBC","FIRST FINL BANCORP INC/OH",27.7
17239,"KND","KINDRED HEALTHCARE INC",11.65
17269,"ASRV","AMERISERV FINANCIAL INC/PA",4.15
17277,"NVEE","NV5 GLOBAL INC",42.5
17285,"CWGL","CRIMSON WINE GROUP LTD",10.71
17287,"SBGL","SIBANYE-STILLWATER LIMITED",4.63
17306,"PFSI","PENNYMAC FINANCIAL SERVICES",16.7
17341,"ARTNA","ARTESIAN RESOURCES  -CL A",37.64
17367,"AMNB","AMERICAN NATL BANKSHARES",36.95
17379,"PDIV.","PURPOSE ENHNCD DIV FUND ETF",11.1
17380,"AHOTF","AMERICAN HOTEL INCM PROP LP",7.54
17408,"NVGS","NAVIGATOR HOLDINGS LTD",8.3
17420,"ATLCY","ATLAS COPCO AB",34.513
17436,"BASFY","BASF SE",92.487
17438,"BDGE","BRIDGE BANCORP INC",33.3
17449,"KELTF","KELT EXPLORATION LTD",6.28
17451,"IBTX","INDEPENDENT BK GRP INC",59.5
17452,"DANOY","DANONE",15.012
17454,"KNOP","KNOT OFFSHORE PRTNRS LP",22.95
17485,"DRIO","DARIOHEALTH CORP",2.18
17498,"CMRX","CHIMERIX INC",5.45
17534,"CCNE","CNB FINANCIAL CORP/PA",23.97
17550,"HAWK","BLACKHAWK NETWORK HLDGS INC",43.6
17553,"MODN","MODEL N INC",13.3
17556,"BPY","BROOKFIELD PROPERTY PRTRS LP",23.67
17567,"PETX","ARATANA THERAPEUTICS",7.23
17582,"HRR.UN","AUSTRALIAN REIT INCOME FUND",10.6
17586,"FSB","FRANKLIN FINL NETWORK INC",41.25
17589,"GDG.UN","GLOBAL DIVIDEND GROWERS INCM",11.96
17590,"IFL.UN","EDWOOD FLOATING RATE BOND FD",8.15
17594,"RBNC","RELIANT BANCORP INC",23.87
17602,"BHRB","BURKE & HERBERT BANK & TR CO",2135
17616,"BURCA","BURNHAM HOLDINGS INC",15.25
17626,"AHH","ARMADA HOFFLER PROPERTIES",12.95
